food_name,calories_per_100g_kcal,fat_per_100g_g,cholesterol_per_100g_mg,protein_per_100g_g,carbohydrate_per_100g_g,fiber_per_100g_g,sugar_per_100g_g,sodium_per_100g_mg,kalium_per_100g_mg,detail_url,instance_weight_g
Pastel,251.0,10.21,99.0,6.33,32.71,1.3,0.36,160.0,78.0,"https://www.fatsecret.co.id/kalori-gizi/umum/pastel?portionid=5702613&portionamount=100,000",0
Risoles,160.0,6.25,41.0,10.54,14.43,0.6,1.06,202.0,182.0,"https://www.fatsecret.co.id/kalori-gizi/umum/risoles?portionid=6667166&portionamount=100,000",0
Kroket,127.0,4.72,72.0,4.15,16.86,1.3,1.46,260.0,271.0,"https://www.fatsecret.co.id/kalori-gizi/umum/kroket?portionid=641012&portionamount=100,000",0
Sambal Matah,142.0,10.24,8.0,2.91,11.96,1.0,3.57,1653.0,286.0,"https://www.fatsecret.co.id/kalori-gizi/umum/sambal-matah?portionid=31821093&portionamount=100,000",0
Lalapan,46.0,0.7,0.0,2.05,9.75,2.3,3.99,269.0,314.0,https://www.fatsecret.co.id/kalori-gizi/umum/lalapan,0
Pecel Lele,194.0,11.48,38.0,15.37,7.93,1.0,6.44,48.0,351.0,"https://www.fatsecret.co.id/kalori-gizi/umum/pecel-lele?portionid=13995891&portionamount=100,000",0
Sambal Terasi,15.0,0.5,0.0,0.0,2.0,0.0,2.0,210.0,20.0,https://www.fatsecret.co.id/kalori-gizi/uleg/sambal-terasi/1-takaran-saji,0
Bakmi,169.0,4.88,7.0,6.34,25.06,1.8,1.61,329.0,145.0,https://www.fatsecret.co.id/kalori-gizi/umum/bakmi,0
Mie Ayam,175.0,7.81,44.0,6.96,19.25,1.0,0.55,15.0,60.0,"https://www.fatsecret.co.id/kalori-gizi/umum/mie-ayam?portionid=5702650&portionamount=100,000",0
Telur Balado,202.0,16.43,332.0,10.21,3.49,0.8,2.2,356.0,158.0,"https://www.fatsecret.co.id/kalori-gizi/umum/telur-balado?portionid=6764715&portionamount=100,000",0
